"TablePos","ExtAngle","IntAngle","Beta","I","%I","Smooth %I"
3000,45.0,58.95873,2.453778,2,0.39216,0.39216
2999,44.985,58.95491,2.45368,2,0.39216,0.39216
2998,44.97,58.95108,2.453581,2,0.39216,0.39216
2997,44.955,58.94725,2.453483,2,0.39216,0.39216
2996,44.94,58.94343,2.453384,2,0.39216,0.39216
2995,44.925,58.9396,2.453285,2,0.39216,0.39216
2994,44.91,58.93577,2.453186,2,0.39216,0.39216
2993,44.895,58.93195,2.453088,2,0.39216,0.39216
2992,44.88,58.92812,2.452989,2,0.39216,0.39216
2991,44.865,58.92428,2.45289,2,0.39216,0.39216
2990,44.85,58.92045,2.452791,2,0.39216,0.39216
2989,44.835,58.91662,2.452692,2,0.39216,0.39216
2988,44.82,58.91278,2.452593,2,0.39216,0.39216
2987,44.805,58.90895,2.452494,2,0.39216,0.39216
2986,44.79,58.90511,2.452395,2,0.39216,0.39216
2985,44.775,58.90128,2.452296,2,0.39216,0.39216
2984,44.76,58.89744,2.452197,2,0.39216,0.39216
2983,44.745,58.8936,2.452098,2,0.39216,0.39216
2982,44.73,58.88976,2.451999,2,0.39216,0.39216
2981,44.715,58.88592,2.4519,2,0.39216,0.39216
2980,44.7,58.88208,2.451801,2,0.39216,0.39216
2979,44.685,58.87824,2.451701,2,0.39216,0.39216
2978,44.67,58.87439,2.451602,2,0.39216,0.39216
2977,44.655,58.87055,2.451503,2,0.39216,0.39216
2976,44.64,58.86671,2.451403,2,0.39216,0.39216
2975,44.625,58.86286,2.451304,2,0.39216,0.39216
2974,44.61,58.85901,2.451204,2,0.39216,0.39216
2973,44.595,58.85516,2.451105,2,0.39216,0.39216
2972,44.58,58.85132,2.451005,2,0.39216,0.39216
2971,44.565,58.84747,2.450906,2,0.39216,0.39216
2970,44.55,58.84362,2.450806,2,0.39216,0.39216
2969,44.535,58.83976,2.450707,2,0.39216,0.39216
2968,44.52,58.83591,2.450607,2,0.39216,0.39216
2967,44.505,58.83206,2.450507,2,0.39216,0.39216
2966,44.49,58.82821,2.450408,2,0.39216,0.39216
2965,44.475,58.82435,2.450308,2,0.39216,0.39216
2964,44.46,58.82049,2.450208,2,0.39216,0.39216
2963,44.445,58.81664,2.450108,2,0.39216,0.39216
2962,44.43,58.81278,2.450009,2,0.39216,0.39216
2961,44.415,58.80892,2.449909,2,0.39216,0.39216
2960,44.4,58.80506,2.449809,2,0.39216,0.39216
2959,44.385,58.8012,2.449709,2,0.39216,0.39216
2958,44.37,58.79734,2.449609,2,0.39216,0.39216
2957,44.355,58.79348,2.449509,2,0.39216,0.39216
2956,44.34,58.78961,2.449409,2,0.39216,0.39216
2955,44.325,58.78575,2.449309,2,0.39216,0.39216
2954,44.31,58.78188,2.449208,2,0.39216,0.39216
2953,44.295,58.77802,2.449108,2,0.39216,0.39216
